# Baby names
ఫూలేందు	بهولیندو
ఫేనిల	بهینیل
బటుక	بطوك
బద్రీ	بدری
బద్రీనాథ	بدریناته
బనవారీ	بنواری
బన్శిక	بنشیك
బన్హీ	بنهی
బబితా	ببیتا
బరన	برن
బరసాత	برسات
బరిద	برید
బరున	برون
బలదేవ	بلدیو
బలప్రదా	بلبردا
బలరామ	بلرام
బలవీర	بلویر
బల్మానీ	بلمانی
బవిశ్యా	بویشیا
బాంకేబిహారీ	بانكیبیهاری
బాంసురీ	بانسوری
బాల కృష్ణ	بال كرشن
బాలక్రిష్నా	بالكریشنا
బాలా	بالا
బాలారాజ	بالاراج
బాలారామ	بالارام
బాలాశంకర	بالاشنكر
బాళ గణపతి	بار جنبتی
బావరీ	باوری
బావీన	باوین
బిందియా	بیندیا
బినీతా	بینیتا
బిమల	بیمل
బిమలా	بیملا
బిల్వా	بیلوا
బీనాతా	بیناتا
బీన్కాల	بینكال
బీన్దేశ్వర	بیندیشور
బీన్నీకేర	بیننیكیر
బీప్రా	بیبرا
బీసలతా	بیسلتا
బుధీప్రియా	بودهیبرییا
బేకురీ	بیكوری
బేథినా	بیتهینا
బేలావార్ధానా	بیلاواردهانا
బ్రహ్మావతీ	برهماوتی
బ్రీన్ధా	بریندها
భక్తావాత్సలా	بهكتاواتسلا
భక్తి	بهكتی
భగదిత్య	بهجدیتی
భద్రీశా	بهدریشا
భవాద	بهواد
భవ్య శ్రీ	بهوی شری
భాగవాథ్య	بهاجواتهی
భాగేశ	بهاجیش
భాగ్యా	بهاجیا
భానీశ	بهانیش
భాన్ధవీ	بهاندهوی
భాలేంద్ర	بهالیندر
భావ	بهاو
భావిన	بهاوین
భావేశ్వారీ	بهاویشواری
భావ్నీశ	بهاونیش
భావ్యశ్రీ	بهاویشری
భాశ్వీనీ	بهاشوینی
భాస్వన	بهاسون
భాస్వాథ	بهاسواته
భిమేశ	بهیمیش
భీఖీ	بهیكهی
భీమా	بهیما
భీలానగనా	بهیلانجنا
భీష్మ	بهیشم
భువనేశ్వరీ	بهوونیشوری
భువన్పతీ	بهوونبتی
భువేశ	بهوویش
భూతేశ్వర	بهوتیشور
భూపేన్ద్ర	بهوبیندر
భూమత	بهومت
భూమిక	بهومیك
భూమీజా	بهومیجا
భోజరాజా	بهوجراجا
భ్రమర	بهرمر
భ్రిథీ	بهریتهی
మంగలమూర్తి	منجلمورتی
మంజుల	منجول
మంజులా	منجولا
మందాకినీ	منداكینی
మందాక్రాంతా	منداكرانتا
మణిశంకర	منیشنكر
మదిర	مدیر
మదేశ	مدیش
మద్వాన	مدوان
మధుప	مدهوب
మధుపాల	مدهوبال
మధురానీ	مدهورانی
మధులా	مدهولا
మధుశా	مدهوشا
మధుసూదన	مدهوسودن
మనన	منن
మనప	منب
మనమోహన	منموهن
మనస్విన	منسوین
మనాగోబీనదా	مناجوبیندا
మనీమ	منیم
మనోమయ	منومی
మనోహర	منوهر
మనోహరణ	منوهرن
మన్మాయీ	منمایی
మన్విత	منویت
మన్వీర	منویر
మల్లేశ	مللیش
మశీనీ	مشینی
మహాయోగీన	مهایوجین
మహారావణమర్దానా	مهاراونمردانا
మహాలీన్గమ	مهالینجم
మహింద్రా	مهیندرا
మహీథా	مهیتها
మహేర	مهیر
మహేశీ	مهیشی
మహేశ్వర	مهیشور
మాంగలీ	مانجلی
మాంగేశ్వారీ	مانجیشواری
మాందవ	ماندو
మాంన్గ్గౌర్దీ	ماننججاوردی
మాంన్జీరీ	ماننجیری
మాంన్దారికా	ماننداریكا
మాంన్వితా	ماننویتا
మాంరుతాత్మాజా	مانروتاتماجا
మాతంగీ	ماتنجی
మాతన	ماتن
మాధవిలతా	مادهویلتا
మాధుకేశ	مادهوكیش
మాధుర్య	مادهوری
మానధన	ماندهن
మానీక్యా	مانیكیا
మాన్యసరీ	مانیسری
మాయుఖీ	مایوكهی
మారూత	ماروت
మార్గీన	مارجین
మార్తండ	مارتند
మాలారవిలీ	مالارویلی
మాసమాం	ماسمان
మీనల	مینل
మైత్రా	مایترا
మైనాలీ	ماینالی
మైనావీ	مایناوی
మైరవా	مایروا
మౌలీశా	ماولیشا
యక్ష	یكش
యజత	یجت
యజుర్వ	یجورو
యతావన	یتاون
యత్నేశ	یتنیش
యదు	یدو
యదుక్రిష్నా	یدوكریشنا
యదునందన	یدونندن
యవనా	یونا
యశవర్ధన	یشوردهن
యశికా	یشیكا
యశ్వీ	یشوی
యశ్శ్రీ	یششری
యాజ్నా	یاجنا
యాతన	یاتن
యాతనా	یاتنا
యాత్నీక	یاتنیك
యాత్వికా	یاتویكا
యాదమమాం	یادممان
యాదీతా	یادیتا
యాద్నేశ	یادنیش
యామికా	یامیكا
యాశీకా	یاشیكا
యాసస్వీ	یاسسوی
యుంగేన్దర	یونجیندر
యుగన్తీకా	یوجنتیكا
యుగా	یوجا
యుగీన	یوجین
యుధావ	یودهاو
యుధీష్ఠీర	یودهیشطهیر
యుధ్ధ	یودهده
యుయుత్సు	یویوتسو
యువతీ	یووتی
యువాసరీ	یوواسری
యుసు	یوسو
యూరా	یورا
యేక్షిత	ییكشیت
యేఘరాజ	ییجهراج
యేశాస్వీనీ	ییشاسوینی
యేశ్మిత	ییشمیت
యేస్వంఠ	ییسونطه
