child	parent
http://www.wikidata.org/entity/Q6553897	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q6735199	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q7033959	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q7033959	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q10913056	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q30156140	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q30156140	http://www.wikidata.org/entity/Q9192
http://www.wikidata.org/entity/Q30156140	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q30156140	http://www.wikidata.org/entity/Q45961
http://www.wikidata.org/entity/Q43256057	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q43256057	http://www.wikidata.org/entity/Q9192
http://www.wikidata.org/entity/Q43256057	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q43256057	http://www.wikidata.org/entity/Q45961
http://www.wikidata.org/entity/Q64427357	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q9192	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q13220	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q33375	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q33375	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q33475	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q33475	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q34290	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q34290	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q35137	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q35137	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q35137	http://www.wikidata.org/entity/Q10913056
http://www.wikidata.org/entity/Q56479	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q56504	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q56504	http://www.wikidata.org/entity/Q33857
http://www.wikidata.org/entity/Q56546	http://www.wikidata.org/entity/Q7850
http://www.wikidata.org/entity/Q4848956	http://www.wikidata.org/entity/Q7838
